category,file,status,size,content_type,url
04_煤矿支护技术规范GB系列,GB_1499.2-2024_钢筋混凝土用钢热轧带肋钢筋.html,OK,24183,text/html;charset=utf-8,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=B54C4769E4CA87CFF4F0E6D00C20AFF8
04_煤矿支护技术规范GB系列,GB_50086-2015_岩土锚杆与喷射混凝土支护工程技术规范.html,OK,112486,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?bookID=59978&SiteID=1
04_煤矿支护技术规范GB系列,GB_50213-2010_2022年版_煤矿井巷工程质量验收规范.html,OK,106201,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?bookID=154000&SiteID=1
04_煤矿支护技术规范GB系列,GB_50419-2017_煤矿巷道断面和交岔点设计规范.html,OK,105257,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?SiteID=1&bookID=98218
04_煤矿支护技术规范GB系列,GB_50215-2015_煤炭工业矿井设计规范.html,OK,167861,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?SiteID=1&bookID=60159
04_煤矿支护技术规范GB系列,GB_50384-2016_煤矿立井井筒及硐室设计规范.html,OK,99269,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?SiteID=1&bookID=61695
04_煤矿支护技术规范GB系列,GB_T50511-2022_煤矿井巷工程施工标准.html,OK,108558,text/html;charset=UTF-8,https://ebook.chinabuilding.com.cn/zbooklib/book/detail/show?SiteID=1&bookID=154713
05_近五年煤矿顶板事故通报,2025-07-29河南顶板事故调查报告.pdf,OK,515863,application/pdf;charset=UTF-8,https://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202511/20251111171843270.pdf
05_近五年煤矿顶板事故通报,2025-09-15中煤新登郑州煤业顶板事故调查报告.pdf,OK,582018,application/pdf;charset=UTF-8,https://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202510/20251028175416636.pdf
05_近五年煤矿顶板事故通报,2025-04-24镇雄宝树煤矿顶板事故调查报告.pdf,OK,1175750,application/pdf,http://yn.chinamine-safety.gov.cn/upload/20250627/2025062716445696.pdf
